SizeRank,City,State,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
50,Tulsa,OK,76055,75774,75932,76228,76830,77308,77667,78051,78422,78783,79139,79548,79925,80355,80678,81039,81309,81611,81923,82254,82634,82928,83192,83395,83622,83873,84057,84270,84428,84603,84759,84920,85136,85298,85517,85732,85960,86138,86266,86431,86577,86756,86931,87124,87348,87524,87649,87697,87809,87945,88063,88119,88162,88227,88349,88524,88768,88912,89005,89128,89279,89443,89541,89725,89960,90185,90401,90566,90779,90976,91229,91477,91718,92006,92301,92652,92959,93299,93606,93887,94096,94228,94344,94402,94500,94575,94701,94781,94838,94921,95117,95342,95538,95615,95671,95660,95570,95564,95625,95838,96012,96000,95752,95371,95033,94958,94982,94850,94652,94401,94506,94578,94736,94951,95205,95343,95461,95565,95616,95574,95586,95854,96343,97135,97732,97870,97317,96668,95942,95261,94548,94163,93873,93444,92707,91806,90911,90254,89999,89915,89969,89840,89658,89325,88857,88621,88472,88525,88746,89135,89645,89960,90049,90043,90101,90304,90639,90844,91082,91367,91726,92008,92089,92236,92185,92416,92700,93273,93607,93925,93943,93957,94100,94419,94850,95105,95249,95462,95856,96514,97057,97570,97931,98297,98518,98668,98910,99187,99450,99268,98602,97721,97509,98051,99081,100081,100923,101654,102180,102702,103413,104492,105770,106993,107971,108942,109682,110175,110298,110412,110509,110686,110905,110634,109777,108470,108043,108463,109582,110552,111235,111544,111935,112439,113173,113906,114976,116131,116423,115991,115496,115730,116411,117265,118183,119088,119850,120912,122313,124132,126448,128461,129662,130240,130588,131404,132353,133838,135803,137995,140495,142973,145360,147522,149631,151271,152737,154209,155853,157423,158799,160872,163288,165866,167993,170075,171964,173635,175195,177094,178924,180052,180649,181311,182322,182807,183557
51,Minneapolis,MN,104610,105211,105748,106969,108292,109858,111635,113959,116209,118363,120098,121926,123659,125228,126775,128333,129848,131358,132991,134665,136506,138499,140529,142449,144060,145369,146321,147073,148365,149824,151640,153210,154791,156056,157379,158918,160546,161902,163205,164553,166112,167575,169135,170515,171649,172525,173671,174943,176143,177123,178177,179684,181394,183302,185077,186733,188273,189446,190236,191063,192284,193831,194935,196149,197475,198919,200004,200581,201174,201615,202316,202884,203314,203697,204295,205052,205604,205933,205874,205455,204432,203769,203311,203217,203078,203375,203436,203363,202741,202393,201682,200886,199788,199105,198387,197166,195553,193083,190904,189009,187764,186783,185407,183720,181816,179440,177294,174718,172371,169737,167800,166256,166065,166219,166683,167085,167425,167607,167534,167317,167609,168193,169123,169364,169160,168544,168142,166992,165325,163180,161480,159982,158323,156409,154670,153522,152999,152331,151348,149966,148210,146168,144046,142203,141467,141586,142761,143766,144851,146158,148210,150641,153318,155826,157877,159589,160850,162409,163997,165712,167006,168327,169752,171624,173632,175752,177592,179095,180326,181683,183115,184271,185001,184962,184968,185008,185513,186019,186685,187450,188273,189641,191009,192428,193240,193823,194438,195407,196615,197939,199219,200936,203080,205395,207425,209380,210763,212073,212667,213297,214007,215245,216946,218860,220857,223158,225570,228379,230568,232413,233458,234253,234530,235038,236269,238544,241414,244499,247546,250271,252384,253564,254665,255497,256371,256618,256992,257795,258984,260818,262637,264055,264396,264299,264038,264111,264319,265112,266347,268011,269928,272018,274398,276642,277632,276984,275786,275569,277235,280261,283641,286727,289125,291589,294539,297985,301557,304679,306485,306451,304810,302920,301723,301110,301772,303691,306890,310609,313874,316407,316536,314720,311641,309584,308405,307033,305598
52,Aurora,CO,176155,177307,178294,180532,182738,185045,187478,190164,193052,195694,198386,201147,204073,206571,209084,211208,213135,214270,215478,216926,218372,219618,220426,221022,221125,221557,222418,223624,224653,225337,225939,226153,226600,226878,227304,227530,227565,227493,227605,228078,228495,228548,228641,228564,228643,228570,228917,229238,229545,229624,229568,229474,229370,229391,229685,230045,230469,230556,230603,230819,231212,231281,231546,231951,232653,232789,232921,233057,233317,233568,233599,233565,233345,233408,233184,233019,232803,232552,232007,231234,230084,229087,228208,227523,226589,225077,224525,224092,224325,224033,223367,222619,221230,220026,218186,216396,214495,212887,210752,208047,205544,204144,203045,201458,199913,198863,198144,196700,194666,192918,192303,192565,192821,192446,191287,190784,190799,191453,191534,191605,192272,192980,193725,193845,194257,194141,193921,193114,191899,190071,188197,186642,185720,184715,183426,182131,180526,179326,178295,177690,177166,176472,175993,175545,175605,176421,177974,179874,181907,184265,186913,189712,192875,195949,198894,201386,203743,205902,207566,209229,210917,213001,215243,217439,219564,221370,223067,224811,226229,227570,228548,230017,231652,233601,235663,237983,240627,243507,246751,250355,254132,258114,261602,264857,267497,270230,273204,276382,279601,282523,285648,289026,292404,295485,298062,300628,302885,305040,306913,308426,309750,311328,313591,316610,319657,322678,325158,327335,329145,330658,331758,332692,333873,335678,338223,341563,344846,347976,350226,352190,353792,354960,356147,356988,357921,358732,359426,360469,361797,363805,365932,367631,368495,368828,368874,369053,369268,369934,371365,373338,375977,378553,381631,384193,385419,385483,385514,387184,390504,394946,399974,404956,409874,414444,418697,422845,427566,432881,437505,440840,442936,445448,449089,453580,459922,467549,476134,483416,488756,491843,492197,489858,485817,481699,477956,474467,471793
53,Bakersfield,CA,114008,114013,113061,112071,111203,111330,111605,111877,112291,112757,113158,113511,113683,113899,114274,114948,115904,116779,117520,118115,118855,119748,120585,121288,121775,122341,123058,123960,124875,125818,127053,128711,130573,132518,134165,135739,136964,138124,139546,141550,143903,146559,148914,151398,153944,156487,159011,161170,163283,165435,167965,170966,174818,178915,184156,190362,196932,205085,211176,216545,219465,223264,227815,233585,240356,249506,258997,266637,272058,277785,283585,288480,290045,291122,294257,298682,304102,306128,309326,311295,313158,312428,311789,311256,311298,310053,308679,307240,305444,302950,298133,292863,287177,282193,277027,271605,266184,261165,254705,246710,238258,229695,221798,214100,207450,200638,193850,187488,182059,177724,173680,169786,165602,162287,160103,158035,155668,152757,151338,151242,152092,152592,153366,153723,154558,154314,153455,152592,151822,151233,149868,148598,148248,147597,146725,145236,143319,141534,140047,139419,139106,138650,138738,139310,140364,141701,142740,143958,145034,146650,147874,149163,150546,152508,154985,157677,160889,164268,167439,170518,173647,177198,180179,183223,186611,190676,194633,197363,199486,201211,203038,204824,206389,208052,209032,209706,210352,211602,213225,214555,215550,216432,217203,218005,218560,219492,220375,221313,221952,222978,224119,225220,226206,227088,227432,227615,227410,227554,227350,227122,226982,227337,227926,228723,229349,230092,230781,231813,232502,233194,233251,233677,234177,235458,236851,238369,239677,240955,242137,243162,244151,245116,246226,247028,247727,248363,249165,250244,251413,252841,254302,255778,256995,257943,258478,259081,259615,260429,261426,262656,264306,265856,267750,269412,270512,271475,272750,274962,278017,281705,286113,290530,294791,298900,303087,307272,311472,315745,320069,324306,328091,331759,335665,339923,344841,350292,356433,362693,368165,372355,374433,374349,372489,370424,368507,366498,364255
54,Honolulu,HI,225761,226327,227078,228337,230023,231900,233623,235401,236982,238764,239594,240028,239944,239990,240238,240980,242201,243372,244577,245754,247452,249185,250821,251886,252650,253363,254226,255202,256050,257324,259244,262006,265508,268888,271833,273966,276275,279192,282638,286090,289552,293232,296677,299934,302750,306668,311248,314865,318159,322007,326503,331744,336881,343873,351445,358627,364338,369125,373489,378764,382694,388029,393468,400676,407642,415504,424753,434738,444486,452333,458735,464712,471315,479127,485415,492270,496215,499041,500352,501182,502541,502448,503593,504234,505247,505003,505368,506140,507134,508160,507942,508372,508154,508990,509478,510237,510561,510131,512227,517424,526190,533738,528106,514243,498082,490066,486181,482941,480299,477878,474056,470571,465598,460092,452540,445476,436144,427560,419997,418208,421355,427297,431481,433933,435032,439469,443863,447841,449265,449865,452061,453101,454015,452478,452263,448893,444959,439615,436291,433646,431942,432507,432621,433558,434826,436059,435532,432477,430272,429429,431499,435386,440031,444201,447865,450348,451600,452010,452978,454071,456508,459080,462482,466494,472334,478247,482540,484982,487120,490063,493940,497627,503238,509507,517427,524520,531754,537366,541506,544388,546652,548627,549767,550307,551380,552012,554302,557555,562382,566510,568248,567819,567505,569219,572700,574784,575035,574439,575807,579477,583894,588568,594089,600969,608197,613945,619246,623969,627937,630259,632283,634628,638296,642702,645748,647353,647486,648497,650421,653122,656337,658466,659820,660803,662996,665130,665842,665594,664408,663223,662521,663364,664192,663896,662758,661666,660983,660374,660457,661098,662122,663361,663992,663913,662095,658977,656700,656613,659569,663085,667373,671224,673859,675881,678201,683375,690843,700345,708902,715241,719725,725244,733122,742150,753219,766656,782940,796390,805137,808166,808834,806655,802716,798991,796186,792989,786871
55,Arlington,TX,121660,121726,121739,121822,121906,122045,122150,122372,122551,122796,123024,123234,123261,123101,122670,122195,121863,122018,122393,122873,123093,123166,123090,123125,123214,123380,123720,124230,124872,125604,126328,127014,127466,127851,128135,128475,128819,128977,129099,129267,129532,129736,129860,130124,130500,130909,131238,131372,131718,132368,134019,135876,137427,138223,138500,138973,139652,140252,140288,140146,140402,140986,141409,141742,142083,142314,142409,142554,142773,142706,142531,142313,142414,142704,143004,143345,143733,144322,144991,145502,145784,146182,146602,147089,146985,146577,146075,146000,146158,146307,146461,146690,147287,147901,148187,148323,147328,146158,144492,143523,142620,142226,142005,141800,141112,140212,139611,139093,138670,138304,138300,138630,139169,139567,139902,140075,140194,140408,140646,140961,141044,141041,140957,141047,141199,141285,140903,140215,139492,138699,137983,137188,136697,135763,135324,134649,134255,133312,132676,132356,132363,132450,132337,132150,131838,131837,131891,132103,132465,133020,133717,134104,134462,134976,135639,136204,136611,137174,137920,138758,139738,140778,141726,142474,143214,144142,145105,146024,146794,147629,148418,149242,150010,150820,151739,152445,153166,153759,154845,156041,157446,158768,159966,161001,162046,163139,164435,165766,167259,168756,170369,172080,173879,175690,177201,178565,179587,180549,181412,182397,183711,185206,186819,188401,189941,191528,193097,194677,196048,197412,198589,199739,200940,202430,204320,206465,208691,210800,212554,214099,215612,217042,218526,219536,220281,220668,221229,222113,223318,224610,225738,226700,227565,228504,229337,230183,230994,232020,233306,234771,236327,237811,239291,240388,240901,241137,241794,243164,245258,247652,250561,253623,256892,259877,262530,264858,267254,269969,272309,273880,274835,276438,279456,283367,288589,294519,300922,306477,310792,314204,316192,316733,316274,315614,314797,313026,310625
56,New Orleans,LA,89765,89772,89888,90137,90493,91067,91596,92151,92669,93283,94070,94752,95651,96428,97224,97829,98529,99182,99854,100376,100961,101426,101744,101830,101846,102001,102298,102645,102994,103519,104192,105028,105734,106452,107004,107618,108105,108585,108967,109437,110045,110690,111320,111974,112703,113548,114344,115142,115857,116638,117458,118357,119328,120374,121414,122257,122964,123661,124404,125112,125832,126750,127767,128675,129460,130143,130969,131737,132467,133041,133650,134096,134530,134533,134387,0,0,0,0,0,112047,108958,107689,107027,106887,106957,107144,107345,107589,107943,108377,108986,109563,109938,109928,109787,109623,109127,107825,106769,107556,109291,111487,112759,114491,115563,116369,116038,115101,113643,112315,111622,111545,111518,111841,111770,111833,111604,111171,111222,111612,112395,113328,113773,114251,114444,114457,114334,113754,113265,112803,112892,113075,113120,112878,112556,112186,111920,111679,111462,111252,111080,111094,110473,109540,108715,108710,109651,111645,114413,117465,120406,123204,125478,126772,127958,129245,130510,131299,132327,133785,136204,138346,140532,142039,143445,145342,147629,149885,150479,149813,148540,147189,146013,145315,145180,145247,145558,146476,147876,149537,151813,154357,157237,159331,160897,162180,163533,164928,166287,168286,171283,173930,175891,176896,178047,178652,179004,178655,178597,178402,179306,180836,181505,181448,180854,181241,181660,181464,181051,180421,179688,179254,178828,179192,179417,180597,182408,184493,185567,185522,185139,185133,185403,185537,185501,185697,186462,188889,192882,197973,201964,204521,205725,206756,207719,208664,209645,211039,212922,215088,217350,219641,221613,222644,222061,221103,220503,221249,222619,224877,227437,230212,233304,237204,241107,244505,246961,249282,250640,251899,253122,254867,256877,259459,262785,266883,270721,273599,275526,275916,274866,272435,270016,267796,265320,263427
57,Knoxville,TN,109209,109444,109581,109871,110063,110224,110327,110524,110855,111200,111530,111879,112167,112376,112465,112738,112953,113168,113350,113648,114000,114339,114788,115288,115679,115854,115968,116166,116497,116812,117132,117428,117740,118031,118432,118938,119366,119657,119832,120149,120474,120870,121365,122008,122770,123410,124028,124546,125047,125496,125933,126505,127190,128152,129265,130382,131482,132461,133428,134446,135340,136124,136728,137585,138606,139604,140696,141817,142928,143860,144866,145942,146786,147411,147986,148857,149929,151140,152249,153222,153972,154589,155258,156051,156856,157389,157631,157931,158366,158829,159156,159324,159472,159380,159235,158799,157910,156929,156074,155755,155499,155265,155047,154664,154071,153714,153414,153173,152782,152633,152520,152241,151594,150956,150110,149548,149080,148695,147817,147096,146987,147335,147904,148197,148460,148660,148438,147953,147048,146480,146025,145658,145024,144591,144198,143890,143339,142571,141936,141532,141358,140971,140513,139958,139691,139553,139764,139963,140001,139820,139721,139486,139517,139551,139817,140030,140343,140799,141354,141830,142350,142667,142922,143013,143189,143635,144283,144968,145429,145852,146393,147159,148155,148892,149473,149569,149579,149329,149338,149531,150112,150690,151265,151789,152365,152861,153361,153799,154428,155088,155760,156412,157141,157954,158547,159090,159535,160107,160577,161043,161704,162499,163476,164392,165157,165839,166460,167322,168342,169464,170578,171642,172754,173799,174946,176037,177344,178629,180170,181334,182231,182833,183823,184909,185987,186775,187505,188279,188515,188430,188159,188491,189316,190553,191738,193010,194011,195187,196433,197891,199697,201504,203245,204453,205334,206232,207773,209914,212858,216183,219916,223592,227169,230846,234784,239188,243933,248942,253031,255786,257298,259192,262067,265821,270814,277215,284611,291704,297401,302240,305420,307062,306907,306401,305976,305471,306133
58,Cleveland,OH,55041,55126,55214,55432,55787,56150,56478,56725,56997,57292,57550,57778,57966,58124,58284,58458,58679,58898,59174,59452,59697,59828,59888,59931,60015,60103,60135,60186,60250,60460,60678,60919,61111,61269,61395,61543,61691,61792,61879,61980,62122,62232,62329,62497,62737,63026,63298,63590,63833,64072,64303,64551,64778,64986,65220,65450,65630,65802,66010,66219,66412,66638,66886,67176,67428,67681,67950,68287,68705,69070,69343,69532,69689,69850,70000,70161,70247,70323,70366,70389,70293,70214,70007,69720,69328,69024,68585,68194,67914,67689,67197,66594,66152,65617,64865,63914,63109,62361,61754,61111,60287,59307,58433,57665,56806,55577,54252,52933,51468,49953,48522,47637,47114,46796,46447,45988,45462,45147,44930,44824,44579,44563,44546,44679,44657,44579,44230,43651,42921,42151,41444,40554,39660,38712,38201,37708,37187,36467,35853,35399,35044,34545,33940,33426,33042,32726,32263,31904,31817,31838,31957,31893,31820,31781,31927,32126,32360,32244,32241,32317,32718,33197,33552,33980,34357,34968,35423,35920,35839,35467,34764,34303,34384,34753,35346,35798,36285,36575,36787,36997,37195,37340,37380,37633,38295,39301,40364,41198,41843,42458,42949,43256,43353,43628,43999,44671,45219,45850,46174,46518,46711,46923,47117,47325,47767,48302,48785,48909,48746,48607,48742,49168,49642,50343,51031,51709,52154,52788,53872,55051,55981,56399,56795,57173,57745,58489,59556,60696,61735,62828,63807,64489,64766,64752,64637,64525,64639,64709,64832,65051,65821,66850,67881,68570,68696,68394,68445,69360,71297,73635,76196,78561,80697,82806,85004,86898,88371,89452,89897,89513,88627,88157,88217,88557,90001,92310,95193,97285,98686,99738,100290,100077,99324,98810,98754,98967,99746
59,Baton Rouge,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114900,117255,117960,119648,119119,118608,117958,118060,118349,118663,118807,118674,117707,116408,115230,114928,115246,115744,116176,116344,116432,116559,116734,116902,117264,117768,118593,119304,120205,120844,121463,121994,122561,123103,123487,123849,124490,125229,126269,127286,128463,129447,130550,131672,132935,134410,136050,137776,139377,140880,142495,144116,146079,147772,149087,150182,151125,151811,152134,152471,153125,153477,153890,154115,154587,155013,155426,155901,156091,156074,155792,156033,156507,157124,157372,157086,156650,155855,155504,154712,154043,152870,152080,151654,151750,152009,152133,152578,153037,153768,154022,154400,153628,153015,152348,152302,152289,152086,152213,152059,151628,151190,150744,150447,149506,147651,145671,143646,142456,141777,141725,142210,142539,142519,142399,142082,141984,141841,141553,140952,139829,139373,139414,139777,139801,139789,139541,138933,138393,138322,138387,138422,138895,139740,140738,140867,140925,141137,141611,141868,142173,142481,142633,142323,142104,142202,142502,142991,143735,144590,145271,145896,146650,147490,148254,148503,148541,148791,149238,149994,150462,150918,151430,151866,152829,153821,155007,155383,155679,155735,155987,155953,156110,156210,156222,155789,155349,154091,152633,151038,150568,150880,151834,153237,155032,157084,159120,161152,163229,165512,167440,168686,168855,168452,167479,166878,166382,166314,165948,166016,166356,167544,169089,170912,172211,172825,172779,172368,171954,171497,171367,171586,172396,173911,175790,177296,177986,177521,176829,176183,176349,177290,178505,179647,180353,181030,181878,182966,183942,184752,185626,186631,187721,188623,189767,191279,193125,195179,197158,199300,201429,203115,204738,205525,205778,204933,204016,203406,202810,203769
60,Riverside,CA,152696,153013,153407,154319,155493,156922,158359,159964,161709,163455,164960,166193,167435,168497,169747,171220,173027,174869,176890,179217,181566,183497,185027,186484,187900,189257,190677,192275,194185,196663,199521,202939,206289,209163,211702,213911,216360,218466,220681,223328,226772,230796,235048,239638,244092,248612,252591,255977,259333,263323,268488,274591,281019,289376,298928,309741,318657,326318,331551,337649,341903,348101,353450,360728,366919,373136,379207,385775,392121,398466,403886,408593,412814,416543,420398,423816,427212,430760,433679,436331,438608,440047,441041,442034,442256,442519,440796,437580,432460,426563,421802,415733,408754,401327,394850,389157,383213,375824,366209,355713,344385,333154,320505,307892,296200,287203,278345,268110,256702,248998,243301,238362,232148,227820,224109,219392,214494,210980,210363,211511,213850,215515,216433,216886,218094,218097,217136,213957,211980,209690,210352,211248,212321,211810,211305,210721,210579,209084,207603,206743,205751,204798,203344,202995,203187,203449,203927,204625,205798,207138,208528,210365,212617,215455,218516,222177,226074,229584,233181,237205,242524,248183,253908,260100,266649,272994,277972,281605,284622,287178,290080,293270,296785,299634,301534,303320,305428,307723,309904,311678,313496,314988,316804,318825,321283,323627,325658,328298,331202,334403,336855,339077,341476,343677,345158,346013,346792,348079,348518,348464,347046,345632,343839,342444,343521,347158,353256,359131,363845,367658,370818,374893,379041,383264,386412,389616,392639,395249,396998,398556,400530,402844,404906,407019,408860,410968,412073,412791,412920,413676,414487,415224,414878,414671,414996,416140,417854,419717,422273,424520,426642,428431,430750,432784,433654,433372,433894,436675,441724,448133,455397,463254,470586,477573,484066,490911,498169,505664,513087,519164,523377,526901,531135,536994,544388,553012,562725,572533,581095,586879,589205,588296,585682,583224,581071,578332,573753
61,Wichita,KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93277,92261,91782,90991,90602,90193,89674,90210,91028,91997,92211,91716,90538,89670,89505,90376,91242,92144,92702,92783,92760,92519,92427,92626,93440,94312,94918,95198,95588,97648,100169,102688,103589,104005,104345,104724,105160,105805,104626,102830,100687,100184,100167,100134,100117,100080,100106,100252,100464,100928,101503,102032,102496,102822,103221,103487,103820,104100,104384,104622,104949,105326,105809,106210,106621,106871,107224,107312,107290,107104,107092,107185,107088,107401,107819,108387,108650,108896,109126,109068,108761,108092,107754,107678,108248,108867,109461,110008,110461,110770,111006,111009,111081,111178,111210,111194,111019,111034,111151,111147,110826,110141,109392,108527,107820,107281,106910,106551,106190,106086,106035,105705,105268,104576,104034,103448,103112,102813,102698,102647,102712,102673,102775,102893,103039,103022,102879,102794,102677,102823,103094,103363,103398,103080,102908,102777,102870,102793,102717,102664,102664,102838,102909,103107,103301,103665,104073,104407,104736,105034,105243,105521,105789,106150,106556,107012,107525,107956,108405,108943,109600,110194,110680,111015,111480,112084,112559,112676,112699,112785,113007,113080,113183,113261,113560,114188,114910,115474,115716,115941,116422,116924,117299,117445,117615,117954,118399,118810,119218,119659,120193,120782,121231,121555,121760,122194,122807,123577,124182,124794,125251,125536,125673,125871,126333,126882,127687,128584,129625,130594,131505,132483,133494,134702,136003,137259,138291,138959,139607,140610,141837,143434,144655,145747,146425,147279,148258,149482,150878,152628,154728,156794,158709,160243,161506,162713,163958,165743,167852,170092,171985,173422,174838,176022,176987,177396,177816,178393,179126,180659
62,Anaheim,CA,204448,206340,207689,210490,212981,215704,218512,221239,223815,226505,228875,231374,233309,235653,237794,240451,242987,245197,247352,249457,252074,254589,256728,258783,260678,263012,265529,268643,272283,276525,281591,286887,291726,296072,300137,304476,308468,312612,316656,321564,327194,332373,337511,342964,349585,356591,363478,369760,375877,383340,392793,403466,415555,428446,440527,450081,456128,461559,465423,470955,477299,483649,491344,498806,507278,513303,519920,527086,535317,542511,547689,553829,559231,565188,569755,574782,578749,581874,581976,583172,583161,584387,583050,580435,579710,579753,580261,577466,573163,568945,562570,554642,544014,535120,528982,521050,510920,496728,485416,472561,459950,446306,434715,424412,416430,407598,398058,387910,379508,374785,370334,366926,363606,360337,357827,355776,355899,357666,361733,365705,367752,367985,367498,369903,371621,372942,371253,369290,367084,364419,361518,359039,357814,357266,356074,353962,350275,347820,346867,345976,343653,341411,340796,341512,340896,339510,337426,336079,335613,336087,337850,341009,345853,351525,357965,364220,370403,375716,380405,384803,390204,396248,402439,408286,414364,420122,425370,429377,432577,435006,437287,439764,442147,444117,446011,447922,451011,454100,457689,460909,464228,467121,469543,471201,472646,474285,476831,477607,476760,473519,469902,465994,467889,474964,485231,492743,497757,502078,506192,506819,503811,498955,496881,497724,503262,511291,521190,527676,532440,535585,538821,542905,548854,556430,563682,571007,576201,578530,577396,575333,574800,575348,576012,578063,580966,585527,588933,590733,588668,584483,580503,579805,580995,582664,584285,587038,591108,595971,600633,604943,608313,610870,613401,616125,616952,615779,614863,617826,624814,634149,644733,655749,664866,672044,677052,683463,691338,701007,708786,713543,716221,721045,728985,739502,753029,768725,785556,800495,811106,816796,816488,813387,809028,806018,802833,798078,790165
63,Cincinnati,OH,92816,92672,92492,92682,93191,94130,94796,95444,95969,96445,96817,97136,97512,97939,98439,98901,99360,99708,100073,100426,100859,101273,101610,101857,102072,102322,102636,102971,103347,103757,104205,104695,105134,105582,106002,106402,106745,107131,107618,108139,108568,108931,109374,109848,110275,110569,110828,111147,111483,111814,112152,112544,112933,113277,113581,113865,114158,114416,114672,114868,115111,115404,115695,115944,116180,116454,116718,116972,117120,117248,117352,117511,117689,117913,118252,118545,118773,118904,119123,119352,119591,119644,119571,119229,118908,118731,118723,118685,118555,118439,118399,118231,117930,117463,117057,116708,116194,115779,115338,114940,114441,114038,113865,113454,112624,111398,110237,109021,107165,104731,103279,103115,103791,104036,104418,104687,104879,104873,105136,105555,106170,107121,107829,108378,108517,108508,107842,106890,105885,104951,103709,102406,101503,101082,100849,100337,99523,98807,98218,97866,97396,97094,96630,96329,95956,95484,94745,94019,93831,93981,94291,94380,94504,94523,94600,94593,94718,94675,94760,95063,95932,97067,98257,99277,100228,100972,101413,101592,101448,101370,101464,102006,102954,103882,104898,105570,106051,106181,106298,106522,106762,107191,107827,108644,109753,110736,111891,112945,114245,115429,116428,117403,118451,119412,119950,120293,120602,121172,121432,122016,122750,124089,125369,126510,127298,128062,128936,130209,131417,132524,133390,134241,134923,135583,136057,136675,136984,137512,138410,139838,141545,142836,144129,145250,146464,147524,148563,149600,150701,152043,153515,154723,155446,156100,156707,157375,157850,158323,158934,159668,160855,162110,163614,164811,165493,165683,166213,167470,169648,172287,175372,178491,181635,184840,188335,191765,195084,197982,199482,199615,198553,198334,198747,199994,202158,205176,208638,211720,214086,215960,216392,215636,213973,212818,212482,212705,213515
